offerdate,sold_premium,offered_premium,purchase_price,purchase_date,item_age,pricing_point,predictedconversionrate,plan_flag,plan_count,plansactive_lastyear_count,planscancelled_lastyear_count,claims_count,claim_amount,price_diff,ismodel,sale_flag,base_rate,manufacturerbrandname_enc,itemcategoryname_enc,itemsupercategorycode_enc,invalid_price_flag,price_diff_check,price_diff_matches
2023-03-17,,32.64,89.99,2023-03-16,1.0,@22%,0.15,0,0.0,0.0,0.0,0.0,0.0,-0.058823529,yes,0,34.68,56,35,14,False,-1.981176470999999,False
2023-03-01,69.72,69.72,329.0,2022-12-24,67.0,@22%,0.81,1,5.0,8.0,2.0,4.0,347.12,-0.023529412,yes,1,71.4,123,34,3,False,-1.6564705880000068,False
2023-04-12,,48.24,249.0,2023-04-05,7.0,@23%,0.08,0,0.0,0.0,0.0,0.0,0.0,0.210843373,yes,0,39.84,7,16,12,False,8.189156627,False
2023-03-09,,91.92,746.42,2021-03-09,730.0,@23%,0.32,0,0.0,0.0,0.0,0.0,0.0,0.298305085,yes,0,70.8,107,36,4,False,20.821694915000005,False
2023-03-18,,89.64,493.98,2023-03-18,0.0,@22%,0.25,1,1.0,1.0,0.0,0.0,0.0,0.299130435,yes,0,69.0,57,36,4,False,20.340869565000002,False
2023-04-07,,31.2,300.0,2023-04-01,6.0,@23%,0.13,0,0.0,0.0,0.0,0.0,0.0,0.019607843,yes,0,30.6,7,19,2,False,0.5803921569999979,False
2023-03-27,,48.12,419.99,2023-03-16,11.0,@22%,0.13,0,0.0,0.0,0.0,0.0,0.0,0.297734628,yes,0,37.08,129,19,2,False,10.742265371999999,False
2023-03-27,,56.64,279.0,2023-03-20,7.0,@23%,0.08,0,0.0,0.0,0.0,0.0,0.0,-0.01048218,yes,0,57.24,74,34,3,False,-0.5895178200000014,False
2023-03-13,34.44,34.44,300.0,2023-03-13,0.0,@22%,0.13,0,0.0,0.0,0.0,0.0,0.0,0.298642534,yes,1,26.52,0,19,2,False,7.621357465999998,False
2023-04-05,,82.08,529.0,2023-04-05,0.0,@23%,0.07,0,0.0,0.0,0.0,0.0,0.0,0.297912713,yes,0,63.24,98,34,3,False,18.542087286999998,False
2023-03-21,,47.76,498.0,2023-03-21,0.0,@23%,0.14,0,0.0,0.0,0.0,0.0,0.0,-0.144086022,yes,0,55.8,74,37,4,False,-7.895913977999999,False
2023-03-09,,63.72,345.0,2023-02-12,25.0,ASIS FEE,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,no,0,63.72,7,37,4,False,0.0,True
2023-03-01,,53.4,300.0,2023-02-15,14.0,@23%,0.09,0,0.0,0.0,0.0,0.0,0.0,0.115288221,yes,0,47.88,5,12,4,False,5.404711778999996,False
2023-03-27,,48.12,549.99,2023-02-17,38.0,@23%,0.18,1,2.0,3.0,1.0,2.0,41.24,-0.065268065,yes,0,51.48,57,11,1,False,-3.2947319349999993,False
2023-03-01,48.24,48.24,300.0,2023-03-01,0.0,@22%,0.56,1,3.0,4.0,1.0,2.0,85.03,0.077747989,yes,1,44.76,57,8,2,False,3.402252011000004,False
2023-04-20,,69.48,399.0,2023-03-06,45.0,@23%,0.25,0,0.0,0.0,0.0,0.0,0.0,0.09245283,yes,0,63.6,57,37,4,False,5.7875471700000025,False
2023-03-06,,34.68,300.0,2023-03-01,5.0,ASIS FEE,1.0,1,1.0,1.0,0.0,,,0.0,no,0,34.68,86,32,13,False,0.0,True
2023-03-28,53.4,53.4,300.0,2023-01-06,81.0,@22%,0.23,0,0.0,0.0,0.0,0.0,0.0,0.115288221,yes,1,47.88,56,12,4,False,5.404711778999996,False
2023-03-18,,52.44,200.0,2023-03-21,-3.0,@23%,0.56,1,2.0,2.0,0.0,1.0,89.07,0.07635468,yes,0,48.72,57,12,4,False,3.6436453199999987,False
2023-03-13,,48.12,370.72,2023-03-12,1.0,@23%,0.12,0,0.0,0.0,0.0,0.0,0.0,-0.012315271,yes,0,48.72,62,12,4,False,-0.5876847290000015,False
2023-03-27,32.4,32.4,800.0,2023-03-06,21.0,@23%,0.18,0,0.0,0.0,0.0,0.0,0.0,-0.126213592,yes,1,37.08,0,25,2,False,-4.553786408,False
2023-02-28,,63.6,550.0,2021-07-28,580.0,@23%,0.31,0,0.0,0.0,0.0,0.0,0.0,0.299019608,yes,0,48.96,107,16,12,False,14.340980392,False
2023-03-27,48.24,48.24,419.93,2023-03-22,5.0,@22%,0.11,0,0.0,0.0,0.0,0.0,0.0,0.151862464,yes,1,41.88,62,8,2,False,6.208137536,False
2023-04-16,,48.12,299.0,2023-04-15,1.0,@22%,0.22,0,0.0,0.0,0.0,,,-0.176591376,yes,0,58.44,56,37,4,False,-10.143408624000001,False
